Index,Question,Answer,Validity,Score
19,what is a visa for a child?, a visit visa; a short-term student visa; a Parent of a Child Student visa; a seasonal worker visa; a domestic worker in a private household visa; leave outside the immigration rules;,YES,0.8972735404968262
20,what is the minimum requirement to switch to a student visa?, be in the UK; have an unconditional offer of a place on a course with a licensed student sponsor - shown by your Confirmation of Acceptance for Studies (CAS),YES,2.595896005630493
23,what is the type of visa you can apply for?,"a)This visa has replaced the Tier 4 (General) student visa.b)If you or your family are from the EU, Switzerland, Norway, Iceland or Liechtenstein.c)If you or your family member started living in the UK by 31 December 2020, you may be able to apply to the free EU Settlement Scheme.",YES,3.497908353805542
24,When did you apply?,"a)you have a later deadline - for example, you’re joining a family member in the UK.b)you have ‘reasonable grounds’ for being unable to apply by 30 June 2021 - for example, you had an illness or were the victim of domestic abuse.c)Check if you can still apply to the EU Settlement Scheme.",YES,3.2098405361175537
25,how do you apply?, When you can apply depends on whether you’re applying from inside or outside the UK.,YES,3.5893895626068115
26,how long can you apply for a visa?,a)The earliest you can apply for a visa is 6 months before you start your course.b)You’ll usually get a decision on your visa within 3 weeks.,YES,3.5905165672302246
27,How long can you apply for a visa?,a)The earliest you can apply is 3 months before your course starts.b)You must apply before your current visa expires. Your new course must begin within 28 days of your current visa expiring.c)You’ll usually get a decision within 8 weeks.,YES,3.61910080909729
28,how long can you stay in the uk?,"How long you can stay depends on the length of your course and what study you’ve already completed in the UK.If you’re 18 or over and your course is at degree level, you can usually stay in the UK for up to 5 years. If it’s below degree level, you can usually stay in the UK for up to 2 years.Read the guidance to find out exactly how long you can stay.",YES,1.8587000370025635
29,How long can you stay in the UK?,"a)You may be able to, extend your visa if you’re eligible, for example to continue your studies in the UK.b)switch to a Student visa from another visa if you’re already in the UK.c)switch to a Graduate visa to stay in the UK for at least 2 years after successfully completing your course.",YES,3.4617984294891357
30,how long can you travel to the UK before your course starts?,"You can arrive in the UK before your course starts. This can be either,up to 1 week before, if your course lasts 6 months or less;up to 1 month before, if your course lasts more than 6 months",YES,3.650085210800171
31,How much does it cost to apply for a student visa?," It costs £348 to apply for a Student visa from outside the UK. £475 to extend or switch to a Student visa from inside the UK.c)You must pay the visa fee for each person that joins you. Healthcare surcharge,You’ll also have to pay the healthcare surcharge as part of your application. How much you pay depends on how long your visa lasts. Check how much you’ll have to pay before you apply.",YES,3.56230092048645
32,what are dependents?,You may be able to bring your partner and children (‘dependants’).,YES,2.723984956741333
33,what can you do on a student visa?," a)study.b)work as a student union sabbatical officer.c)You may be able to work - how much depends on what you’re studying and whether you’re working in or out of term-time.You cannot,a)claim public funds (benefits) and pensions.b)work in certain jobs, for example as a professional sportsperson or sports coach.c)be self-employed.d)study at an academy or a local authority-funded school (also known as a maintained school).e)If your application is successful, you’ll be told what you can and cannot do on a Student visa.",YES,2.3790128231048584
34,What can I do to get a student visa?,You can apply for a Student visa if you’re 16 or over and want to study on a further or higher education course in the UK.,YES,3.7134549617767334
35,What is the best way to study in the UK?,"If you're under 18 and you want to study at an independent school in the UK, you may be eligible for a Child Student visa instead.",YES,3.4515440464019775
36,What do you need to do to prove your knowledge of the English language?,"a)Check what documents you can use as evidence.b)Prove your knowledge of the English language.c)Check if you need a tuberculosis (TB) test.d)If you're doing a masters degree or above, you may need to apply for the Academic Technology Approval Scheme (ATAS) certificate.e)Check if you need to apply for ATAS.",YES,3.618678331375122
37,Where can you apply for a visa?,a)Apply to extend if you're already in the UK on Student visa (or a Tier 4 (General) visa) £475.b)Apply to switch to this visa if you're already in the UK £475.c)You'll need to prove your identity as part of your application.d)You'll usually get a decision within 8 weeks.e)You may be able to pay more to get a faster decision you’ll be told if you can when you apply.,YES,3.3083267211914062
38,what can you bring with you?,"a)Check what you can bring in your hand luggage.b)Check what to do if you're bringing cash with you.c)Check what goods you can bring with you.d)Check what food, animals or plants you can bring into the UK.",YES,3.549687147140503
42,what is the best visa for a student in the UK?,a)finished a recognised UK degree in medicine or dentistry.b)received that degree from a registered student sponsor.c)spent your final year and at least 1 other year of studies leading to that degree in the UK.,YES,2.918898344039917
43,what is the visa for a student?,"a)Once they’ve offered you a place on the course, your education provider will send you a reference number called a Confirmation of Acceptance for Studies.b)You must enter this reference number on your visa application.c)You must apply for your visa within 6 months of receiving your CAS.",YES,3.2153987884521484
44,What can you do if you want to study abroad?,"a)You can apply for a Student visa if you’re 16 or over and want to study on a further or higher education course in the UK.b)If you're under 18 and you want to study at an independent school in the UK, you may be eligible for a Child Student visa instead.",YES,3.6301686763763428
45,What do you need to do to prove your knowledge of the English language?,"a)Check what documents you can use as evidence.b)Prove your knowledge of the English language.c)Check if you need a tuberculosis (TB) test.d)If you're doing a masters degree or above, you may need to apply for the Academic Technology Approval Scheme (ATAS) certificate.e)Check if you need to apply for ATAS.",YES,3.618678331375122
47,How do you get a BRP?,a)Find out how to get your Biometric Residence Permit (BRP) if you were told you’d get one when you applied.b)You might be able to extend your visa to stay longer in the UK.,YES,3.1269330978393555
48,How do you check if you can extend your visa?,a)If you break the conditions of your visa you may not be able to come to the UK again.b)You must have enough money to pay for your course and support yourself in the UK.,YES,2.9905221462249756
49,what is the amount of money you need to pay for your course?,"a)Course fee,You need enough money to pay for your course for 1 academic year (up to 9 months).The amount you need to pay will be on your Confirmation of Acceptance for Studies (CAS).,If you’ve been in the UK with a valid visa for at least 12 months, you do not need to prove you have this money for your visa application.b)Money to support yourself (‘financial requirement’)",YES,3.4767003059387207
50,how long have you been in the UK?,you’ve had a UK visa for 12 months prior to the date of your Student visa application - you must currently be in the UK;you’re applying as a student union sabbatical officer;you’re applying as a postgraduate doctor or dentist on a recognised foundation programme;If you’re from a country listed under the ‘differential evidence requirement’.,YES,2.711998224258423
51,What countries do you need to prove you have enough money to support yourself?,Australia.Austria.Bahrain.Barbados.Belgium.Botswana.Brazil.Brunei.Bulgaria.Cambodia.Canada.Chile.China.Croatia.Republic of Cyprus.Czech Republic.Denmark.The Dominican Republic.Estonia.Finland.France.Germany.Greece.Hong Kong.Hungary.Iceland.Indonesia.Ireland.Italy.Japan.Kazakhstan.Kuwait.Latvia.Liechtenstein.Lithuania.Luxembourg.Macao.Malaysia.Malta.Mauritius.Mexico.Netherlands.New Zealand.Norway.Oman.Peru.Poland.Portugal.Qatar.Romania.Serbia.Singapore.Slovakia.Slovenia.South Korea.Spain.Sweden.Switzerland.Taiwan.Thailand.Tunisia.United Arab Emirates.United States of America.,YES,0.5629482269287109
52,How can you prove your English knowledge when applying?,"a)passing a Secure English Language Test (SELT) from an approved provider.b)having a GCSE, A level, Scottish National Qualification level 4 or 5, Scottish Higher or Advanced Higher in English, gained through study at a UK school that you began when you were under 18",YES,3.2693121433258057
53,"how much english do you need to be able to read, write, speak and understand?","You must prove you can read, write, speak and understand English to a certain level on the Common European Framework of Reference for Languages (CEFR) scale.",YES,3.6723997592926025
54,what is the level of english you are studying with?,"If you’re studying at degree level or above, your Higher Education Provider (HEP) can assess your level of English themselves. This means they may ask you to do a different test.This must still be equivalent to a CEFR level B2.",YES,3.4031128883361816
56,what is the best way to prove your English?,a)you’re a national of Canada.b)you’re applying to come to the UK for a study abroad programme as part of a university degree course in the USA.c)you proved your level of English in a previous visa application.,YES,3.508251667022705
57,What documents are required to apply for a student visa?,"When you apply for your Student visa you must provide,a)a current passport or other valid travel documentation.b)a Confirmation of Acceptance for Studies (CAS) from your course provider.You may also need to provide,c)proof you have enough money to support yourself and pay for your course - this will vary depending on your circumstances.d)a valid ATAS certificate if your course and nationality require it.e)proof of parental or other legal guardian consent if you’re under 18.f)proof of your relationship to your parent or guardian if you’re under 18.g)your tuberculosis test results.h)written consent for your application from your financial sponsor if you’ve received sponsorship for your course fees and living costs in the last 12 months.i)You may need to provide additional documents depending on your circumstances. Read the guidance for the full list of documents you’ll need to provide.j)You need a blank page in your passport for your visa if you need to give your biometric information (fingerprints and a photograph) at a visa application centre. You’ll be told if you need to do this when you apply.",YES,2.747422695159912
58,How old are you?,"If you’re under 18 you’ll need written consent from both parents or legal guardians (or one parent if they have sole responsibility).This must include their consent for,your visa application;your living and care arrangements in the UK;your travel to the UK;You’ll also need to provide a copy of your birth certificate (or another government issued document) that shows the names of your parents.",YES,2.3261654376983643
59,Where can I apply for a visa?,"As part of your application, you’ll need to prove your identity. How you do this depends on where you’re from and what type of passport you have.You’ll either,a)give your fingerprints and a photograph (biometric information) at a visa application centre;b)use the ‘UK Immigration",YES,3.4229495525360107
60,can i apply to a student visa outside the uk?,a)extend your Student visa. switch to a Student visa from another type of visa,YES,3.1411800384521484
61,What is the minimum age to apply to come to the UK?,a full-time student on a postgraduate level course (RQF level 7 or above) that lasts 9 months or longer;a new government-sponsored student on a course that lasts longer than 6 months;a Doctorate Extension Scheme student.,YES,0.302257776260376
62,What is a dependent partner?,"A dependant partner or child is one of the following,your husband, wife or civil partner;your unmarried partner;your child under 18 years old - including if they were born in the UK during your stay.",YES,3.613555908203125
63,what do you need to provide to prove your marriage?,a marriage or civil partnership certificate for your partner;a birth certificate for your child.,YES,3.434762716293335
64,how old is your child?,"If your child is 16 or 17;If your child is 16 or 17 on the date you apply. you’ll need to prove they are not living an independent life, for example they’re not married or in a civil partnership.You’ll need to prove,where they live - if they do not live with you, you’ll need to explain why;any rent or upkeep they pay you each month that you support them financially if they do not live with you",YES,3.1338131427764893
65,what do you need to provide to your child?,a bank statement;credit card bills;driving licence;NHS registration document;an official letter from their university or college.,YES,2.307894468307495
66,How much money do you need to support yourself?,"Your partner and child must each have a certain amount of money available to them. This is in addition to the money you must have to support yourself.How much money they need depends on where you will be studying. They must have either,£845 a month (for up to 9 months) for courses in London;£680 a month (for up to 9 months) for courses outside London.If you’re applying at the same time as your partner or child (you’re applying together as a family), you’ll need to prove you have both money to pay for your course and to support yourself and additional money for each of them.If your partner or child is applying at a different time to you (they’re applying separately) they only need to prove they have money to support themselves.You (or your partner or child) must have this money for at least 28 consecutive days. The end date of the 28 day period must be within 31 days of the date they apply for their visa.If you have a student loan or financial sponsorship, you’ll need to provide evidence of this from your loan or sponsorship company. If your loan does not cover your partner or child, you’ll need to prove you have money to support them instead.",YES,1.7535184621810913
67,What does a partner or child need to prove they have money to support themselves?,"Your partner or child does not need to prove they have this money if they’ve been in the UK with a valid visa for at least 12 months.If you and your partner or child are from a country listed under the ‘differential evidence requirement’ and you’re applying at the same time, they do not need to prove they have money to support themselves.However, they might be asked to provide this evidence before they get a decision on their application.If they do need to provide it, they’ll be contacted by UK Visas and Immigration (UKVI) after they’ve submitted their application.",YES,3.668876886367798
68,how long can a person stay in uk?,"If their application is successful, their visa will end on the same date as yours.",YES,2.0802009105682373
69,How do you apply for a visa?,"Apply for your partner or child’s visa at the same time as you extend or switch your own visa.If you cannot apply at the same time, your partner or child can apply to extend or switch their visas at a later date - this must be before their current visa expires.",YES,3.519897699356079
70,What type of visa can a child have?,a visit visa;a short-term student visa;a Parent of a Child Student visa;a seasonal worker visa;a domestic worker in a private household visa.,YES,3.5778491497039795
71,How do you apply for a visa?,"apply as a partner;apply as a child;They’ll need your application number  - you get it when you apply. This number is called a Global Web Form (GWF) or a Unique Application Number (UAN). You’ll find it on emails and letters from the Home Office about your application.As part of their application, they’ll be asked to make an appointment at a UK Visa and Citizenship Application Services (UKVCAS) service point to provide their biometric information (fingerprints and a photo).They’ll also need to submit their supporting documents. They can",YES,3.5656204223632812
72,What is the minimum requirement to extend a student visa?,"a)be in the UK on a Student visa or a Tier 4 (General) student visa.b)have an unconditional offer of a place on a course with a licensed student sponsor - shown by your Confirmation of Acceptance for Studies (CAS).c)show that your studies are at a higher academic level than your current course (called the ‘academic progress requirement’) - there are some exceptions.If you’ve been in the UK with a valid visa for less than 12 months, you’ll need to prove you have enough money to support yourself in the UK.Apply to extend your dependants’ visas at the same time as you extend your own visa. If you cannot apply at the same time, your partner or child can extend their visas at a later date - this must be before their current visa expires.You can also switch to a Graduate visa to stay in the UK for at least 2 years after successfully completing your course.",YES,1.485288143157959
73,What is the minimum level of education required to be a student in the UK?,"If you’re currently studying in the UK, you’ll usually need to show your studies will be at a higher academic level than your current course.Your new course must be one of the following,a)at a higher academic level than your current courseb)at the same level and related to your previous course or career aspirations - it must be degree level or above at a Higher Education Provider (HEP),intercalated to a medicine, dentistry or medical science course you started studying under your Student visa (including a Tier 4 (General) student visa).",YES,3.4848434925079346
74,what is the best way to show your studies are at a higher level?,"a)resitting exams or repeating modules;b)applying for the first time to a new institution to complete a course you started at an institution that lost its student sponsorship licence;c)applying after working as a student union sabbatical officer to complete a qualification you started studying under your last Student visa (including a Tier 4 (General) student visa);d)completing a PhD or other doctorate that you started studying under your last Student visa (including a Tier 4 (General) student visa);e)continuing your medical, dentistry or medical science degree after completing an intercalated course;f)applying to extend your stay to complete your studies because you’ve done (or want to do) a work placement or study abroad programme;",YES,2.157947063446045
75,how can i get a sabbatical?, if you’re applying to work as a student union sabbatical officer.,YES,3.5313942432403564
76,How long can you stay in the UK?,"The earliest you can apply is 3 months before your course starts.You must apply before your current visa expires. Your new course must begin within 28 days of your current visa expiring.For example, if your visa expires on 1 December, you must apply for a new visa before 1 December. Your new course must begin by 29 December.You must also apply within 6 months of getting a Confirmation of Acceptance for Studies (CAS).You can stay in the UK until you get your decision.If you applied for an administrative review because your application was refused, you can stay in the UK until you get your review decision.",YES,3.5722227096557617
77,how much do you have to pay for a person?,"For each person, you’ll need to pay",YES,0.45001834630966187
78,How do you apply for a passport?,You must apply online.As part of your application you’ll need to prove your identity.How you do this depends on where you’re from and the type of passport you have.You’ll either,YES,3.615187168121338
79,how long does it take to get a decision?,A decision will usually be made within 8 weeks.You may be able to pay to get a faster decision - you’ll be told if you can when you apply.,YES,3.5837056636810303
80,what do you get if you apply for a UKVCAS?,a)a biometric residence permit - if you gave your biometric information at a UKVCAS centre.b)a digital immigration status which you can view and prove online - if you used the ‘UK Immigration,YES,2.5667192935943604
81,What is the minimum requirement to apply for a student visa?,"be in the UK;have an unconditional offer of a place on a course with a licensed student sponsor - shown by your Confirmation of Acceptance for Studies (CAS);If you’ve been in the UK with a valid visa for less than 12 months, you’ll need to prove you have enough money to support yourself in the UK.;Apply to switch your dependants’ visas at the same time as you switch your own visa. If you cannot apply at the same time, your partner or child can switch their visas at a later date - this must be before their current visa expires.",YES,2.9842731952667236
82,How long can you stay in the UK?,"The earliest you can apply is 3 months before your course starts.You must apply before your current visa expires. Your new course must begin within 28 days of your current visa expiring.For example, if your visa expires on 1 December, you must apply for a new visa before 1 December. Your new course must begin by 29 December.You must also apply within 6 months of getting a Confirmation of Acceptance for Studies (CAS).You can stay in the UK until you get your decision.If you applied for an administrative review because your application was refused, you can stay in the UK until you get your review decision.",YES,3.5722227096557617
83,what are the fees for extending this visa?,"For each person, you’ll need to pay,a)£475 to extend this visa,b)the healthcare surcharge,c)You may need to pay £19.20 to have your biometric information (fingerprints and a photo) taken.",YES,3.3903496265411377
84,What is the best way to apply for a UK visa?,"You must apply online.As part of your application you’ll need to prove your identity.How you do this depends on where you’re from and the type of passport you have.You’ll either,give your fingerprints and a photograph (biometric information) at a UK Visa and Citizenship Application Services (UKVCAS) service pointuse the ‘UK Immigration",YES,3.4791300296783447
85,how long does it take to get a decision?,A decision will usually be made within 8 weeks.You may be able to pay to get a faster decision -  you’ll be told if you can when you apply.,YES,3.5837056636810303
86,Why will you be contacted?,"your supporting documents need to be verified,you need to attend an interviewof your personal circumstances (for example if you have a criminal conviction),,If you need to change something in your application after you’ve sent it contact UK Visas and Immigration (UKVI).,You can ask to withdraw your application by contacting UKVI. Your fee will only be refunded if UKVI has not started processing your application.",YES,2.728450059890747
87,what do you get if you apply for a UKVCAS?,a)a biometric residence permit - if you gave your biometric information at a UKVCAS centre.b)a digital immigration status which you can view and prove online - if you used the ‘UK Immigration,YES,2.5667192935943604
88,What are the requirements for a student to be granted entry clearance?,(a) any fee and Immigration Health Charge must have been paid; and(b) the applicant must have provided any required biometrics; and(c) the applicant must have provided a passport or other travel document which satisfactorily establishes their identity and nationality; and(d) the applicant must provide a Confirmation of Acceptance for Studies reference number that was issued to them no more than 6 months before the date of application.,YES,3.0120060443878174
89,What is the definition of a visitor?,(a) as a Visitor; or(b) as a Short-term Student; or(c) as a Parent of a Child Student; or(d) as a Seasonal Worker; or(e) as a Domestic Worker in a Private Household; or(f) outside the Immigration Rules.,YES,0.6421970725059509
90,what is the legal status of the applicant?,"(a) in the UK in breach of immigration laws, except that where paragraph 39E applies,that period of overstaying will be disregarded; or(b) on immigration bail.",YES,0.7859794497489929
91,What are the requirements for acceptance for studies?,(a) the course requirement; and(b) the approved qualification requirement; and(c) the level of study requirement; and(d) the place of study requirement.,YES,3.389359712600708
92,what is the requirement for a single course of study?,"(a) a combined pre-sessional course which meets the requirements in ST 15.1. to 15.3.; or(b) a full-time, salaried, elected executive position as a Student Union Sabbatical Officer, where the applicant is either part-way through their studies or will fill the position in the academic year immediately after their graduation",YES,0.1671457141637802
93,what is the minimum requirement for a course?,(a) a full-time course at degree level or above that leads to an approved qualification; or(b) a full-time course below degree level involving a minimum of 15 hours per week of classroom-based daytime study (08,YES,0.2903033196926117
95,What is the requirement for a course?,"(a) the course will be studied in England, Wales or Northern Ireland, and the applicant is aged under 18, and the course is at Regulated Qualifications Framework level 3 or above; or(b) the course will be studied in England, Wales or Northern Ireland, and the applicant is aged 18 or over, and the course is at Regulated Qualifications Framework level 4 or above; or(c) the course will be studied in Scotland, and the applicant is aged under 18, and the course is at Scottish Credit and Qualifications Framework level 6 or above; or(d) the course will be studied in Scotland, and the applicant is aged 18 or over and the course is at Scottish Credit and Qualifications Framework level 7 or above.",YES,3.085627555847168
98,what level is the applicant studying?,"(a) level B2, where the applicant is studying a course at UK bachelor’s degree level or above; or(b) level B1, where the applicant is studying a pre-sessional course or a course below UK bachelor’s degree level.",YES,3.5809686183929443
99,what is the exception to ST 14.4?,(a) one of the exceptions in ST 14.4.; or(b) they are applying to progress to a higher level course as specified in ST 14.3.(a) or (b).; or(c) they have successfully completed the course of study with their sponsor where the change of course was allowed without applying for further permission on the Student route.,YES,1.13486647605896
100,What does an applicant need to show academic progress?,"(a) are applying to re-sit examinations or repeat modules under ST 14.5.; or(b) have previously re-sat examinations or repeated modules under ST 14.5. and are applying to complete the course for which those examinations were re-sat or modules repeated; or(c) are applying to continue studying with their current student sponsor for the purpose of completing the PhD or other doctoral qualification for which study was undertaken during their last period of permission as a Student; or(d) are making an application to move to a new student sponsor to complete a course of study begun at a student sponsor that has subsequently had its licence revoked; or(e) are applying to undertake a role as a Student Union Sabbatical Officer; or(f) after undertaking a period as a Student Union Sabbatical Officer are applying to complete the qualification for which the Confirmation of Acceptance for Studies was assigned before that period; or(g) are applying for permission to stay as a postgraduate doctor or dentist on a recognised Foundation Programme; or(h) are applying to undertake an intercalated bachelor’s or master’s degree course or PhD where they are studying medicine, veterinary medicine and science, or dentistry as their principal course of study, or to complete their principal course, having completed a period of intercalation; or(i) are applying to undertake a study abroad programme or work placement which is both integral to and assessed as part of the course, or to complete their course, having completed a study abroad programme or work placement.",YES,2.5135271549224854
101,how long does a pre-sessional course last?,(a) the pre-sessional course lasts no longer than 3 months; and(b) the main course will begin no more than 1 month after the pre-sessional course ends.,YES,3.160245180130005
102,What qualifications are required to be a postgraduate doctor or dentist?,"(a) successfully completed a recognised UK bachelor’s degree or above in medicine or dentistry; and(b) previously been granted permission as a Student, for at least two academic years, which must include the final year, of their UK bachelor’s degree or above in medicine or dentistry.",YES,3.3426249027252197
104,what is the student sponsor's record of compliance with ST 22.1?,(a) the applicant is applying for a course of study at degree level or above and is sponsored by a higher education provider with a track record of compliance; or(b) ST 22.1. applies.,YES,3.689716100692749
105,What evidence must be provided for each qualification?,(a) the certificate(s) of qualification; or(b) the transcript of results; or(c) a print out of the qualification or transcript results from the awarding body’s online checking service.,YES,3.32944917678833
106,what age must the applicant be able to obtain consent from?,"(a) both parents; or(b) one parent, if that parent has sole legal responsibility for the applicant; or(c) the applicant’s legal guardian.",YES,2.9647133350372314
107,What is the application for entry clearance?,"(a) the application; and(b) the applicant’s living and care arrangements in the UK; and(c) if the application is for entry clearance, the applicant’s travel to, and reception arrangements in, the UK.",YES,3.43572998046875
108,What information must the student sponsor provide about the course of study?,"(a) title of course; and(b) academic level of course; and(c) course start and end dates; and(d) hours of study per week, including confirmation on whether the course is part-time or full-time; and(e) the address of the main place of study; and(f) the cost of accommodation and fees; and(g) if the student sponsor has assessed the applicant by use of one or more references, details of the references assessed; and(h) if the course involves a work placement, details of any work placement relating to the course; and(i) if the course will be provided by an education provider which is not the student sponsor, details of the partner institution; and(j) whether the ATAS requirement in Annex ATAS applies; and(k) confirmation if the course is a recognised Foundation Programme for postgraduate doctors or dentists, and requires a certificate from the Postgraduate Dean; and(l) a statement of how the student sponsor has assessed the applicant’s English language ability including, where relevant, the applicant’s English language test scores in all 4 components (reading, writing, speaking and listening); and(m) if the course is part of a study abroad programme, the name and address of the partner institution; and(n) if the applicant is applying for a full-time, salaried, elected executive position as a Student Union Sabbatical Officer and is part-way through their studies or being sponsored to fill the position in the academic year immediately after their graduation; and(o) DELETED(p) if the applicant has previously been granted permission as a Student, confirmation that the new course meets the academic progress requirement from the previous course as required by ST 14.1. to ST 14.5.",YES,2.541900873184204
109,What are the conditions for granting permission?,"(a) no access to public funds; and(b) no work, except as specified in ST 26; and(c) no study, except as specified in ST 27; and(d) if Part 10 applies, the person will be required to register with the police.",YES,1.830017328262329
110,how long is the period of permission granted to an applicant before the start of the course?,"(a) the relevant period before the course date which is set out in the table below, if entry clearance is granted 1 month or more before the start date of the course; or(b) 7 days before the intended date of travel, if entry clearance is granted less than 1 month before the start date of the course; or(c) with immediate effect, if entry clearance is granted less than 7 days before the intended date of travel and less than 1 month before the start date of the course.",YES,3.593691110610962
111,What are the conditions of employment?,"a)Students are permitted to undertake work related to a work placement, assessed as an integral part of the course, that meets the requirements at ST 17.1. to ST 17.3.b)Employment as an elected Student Union Sabbatical Officer or elected National Union of Students (NUS) position is permitted for up to 2 years if the Confirmation of Acceptance for Studies was assigned for this purpose.",YES,3.704702138900757
112,What is the student's right to do?,(a) be self-employed or engage in business activity unless ST 26.8 applies; or(b) work as a professional sportsperson (including as a sports coach); or(c) work as an entertainer; or(d) work in a position which would fill a permanent full-time vacancy unless ST 26.6. applies.,YES,1.1913948059082031
113,how long does the student have to stay under the Skilled Worker route?,"(a) the Student is studying a full-time course of study at degree level or above with a higher education provider with a track record of compliance; and(b) the application as a Skilled Worker was made when the applicant had permission as a Student; and(c) a decision has not been made on the Skilled Worker application, or where a decision has been made, any Administrative Review against a refusal has not been finally determined.",YES,3.433183431625366
114,What is the status of the student?,"(a) they have applied for permission on the Start-up route; and(b) that application is supported by an endorsement from a Start-up route endorsing body which is a higher education provider with a track record of compliance; and(c) the application was made when the applicant had permission as a Student; and(d) a decision has not been made on the application, or where the application has been refused, any Administrative Review against a refusal has not been finally determined.",YES,2.5216052532196045
116,What is the status of the student sponsor?,(a) the student sponsor is a higher education provider with a track record of compliance; and(b) the Student has not completed the course that the Confirmation of Acceptance for Studies was assigned for; and(c) the new course is not at a lower qualification level than the course the Confirmation of Acceptance for Studies was assigned for; and(d) the course is at degree level or above; and(e) any new course at degree level can be completed within the current period of permission; and(f) the student sponsor confirms that new course is related to the course for which the Confirmation of Acceptance for Studies was assigned or supportsthe Student’s genuine career aspirations.,YES,3.3309829235076904
117,what are the requirements for a student to be allowed to stay in the United States?,(a) any fee and Immigration Health Charge must have been paid; and(b) the applicant must have provided any required biometrics; and(c) the applicant must have provided a passport or other travel document which satisfactorily establishes their identity and nationality.,YES,2.068255662918091
118,What is the definition of a visitor?,(a) as a Visitor; or(b) as a Short-term Student; or(c) as a Parent of a Child Student; or(d) as a Seasonal Worker; or(e) as a Domestic Worker in a Private Household; or(f) outside the Immigration Rules.,YES,0.6421970725059509
121,What is the requirement for a student to be granted entry clearance?,"(a) the applicant must have been born during the Student’s current periodof permission to study a full-time course of 6 months or longer and they are applying for permission during that period; or(b) where the Student has permission to re-sit examinations or repeat a module of a full- time course of 6 months or longer, the applicant must have been born either,(i) during the Student’s original period of permission; or(ii) during the period of permission granted for re-sitting examinations or to repeat a module; or(c) the applicant must have been born no more than 3 months after the expiry of the Student’s most recent permission and must be making an application for entry clearance within 6 months of the expiry of their parent’s most recent permission.",YES,3.4169907569885254
122,What are the requirements for a marriage?,(a) they must have been living together in a relationship similar to marriage or civil partnership for at least the 2 years before the date of application; and(b)any previous relationship of the applicant and their partner with another person must have permanently broken down; and(c) the applicant and their partner must not be so closely related that they would not have been allowed to marry in the UK.,YES,3.056884527206421
123,Who is the applicant?,(a) a Student; or(b) the partner of a Student.,YES,1.9916772842407227
